sigla_uf,ano,populacao
AC,1991,417102
AL,1991,2512658
AM,1991,2102766
AP,1991,289035
BA,1991,11867336
CE,1991,6366132
DF,1991,1601093
ES,1991,2600619
GO,1991,4017506
MA,1991,4929676
MG,1991,15743536
MS,1991,1780385
MT,1991,2026069
PA,1991,4949222
PB,1991,3201324
PE,1991,7127956
PI,1991,2582075
PR,1991,8448620
RJ,1991,12807197
RN,1991,2415077
RO,1991,1133265
RR,1991,217583
RS,1991,9138463
SC,1991,4542048
SE,1991,1491878
SP,1991,31588794
TO,1991,918400
AC,1992,428006
AL,1992,2548092
AM,1992,2165852
AP,1992,299305
BA,1992,12014023
CE,1992,6433713
DF,1992,1639035
ES,1992,2649747
GO,1992,4098513
MA,1992,4990749
MG,1992,15941939
MS,1992,1818175
MT,1992,2107698
PA,1992,5328133
PB,1992,3229163
PE,1992,7187355
PI,1992,2610476
PR,1992,8511279
RJ,1992,12916705
RN,1992,2448267
RO,1992,1190739
RR,1992,228749
RS,1992,9249199
SC,1992,4614268
SE,1992,1515142
SP,1992,32126058
TO,1992,946604
AC,1993,437495
AL,1993,2604394
AM,1993,2217600
AP,1993,308787
BA,1993,12278027
CE,1993,6549847
DF,1993,1673151
ES,1993,2698687
GO,1993,4171489
MA,1993,5088898
MG,1993,16144856
MS,1993,1850162
MT,1993,2178178
PA,1993,5212812
PB,1993,3274323
PE,1993,7295118
PI,1993,2657415
PR,1993,8587901
RJ,1993,13065279
RN,1993,2503463
RO,1993,1241693
RR,1993,241099
RS,1993,9370531
SC,1993,4697277
SE,1993,1551633
SP,1993,32701353
TO,1993,970259
AC,1994,446480
AL,1994,2645417
AM,1994,2269555
AP,1994,317597
BA,1994,12464316
CE,1994,6633080
DF,1994,1705889
ES,1994,2743243
GO,1994,4240812
MA,1994,5160974
MG,1994,16327360
MS,1994,1881868
MT,1994,2246757
PA,1994,5332187
PB,1994,3307583
PE,1994,7371110
PI,1994,2691615
PR,1994,8651138
RJ,1994,13182301
RN,1994,2543397
RO,1994,1291214
RR,1994,251783
RS,1994,9475871
SC,1994,4767826
SE,1994,1578782
SP,1994,33206755
TO,1994,990760
AC,1995,455242
AL,1995,2685421
AM,1995,2320221
AP,1995,326188
BA,1995,12645982
CE,1995,6714246
DF,1995,1737813
ES,1995,2786692
GO,1995,4308415
MA,1995,5231261
MG,1995,16505334
MS,1995,1912788
MT,1995,2313634
PA,1995,5448598
PB,1995,3340018
PE,1995,7445216
PI,1995,2724967
PR,1995,8712805
RJ,1995,13296419
RN,1995,2582339
RO,1995,1339507
RR,1995,262201
RS,1995,9578597
SC,1995,4836624
SE,1995,1605257
SP,1995,33699614
TO,1995,1007041
AC,1996,483593
AL,1996,2633251
AM,1996,2389279
AP,1996,379459
BA,1996,12541675
CE,1996,6809290
DF,1996,1821946
ES,1996,2802707
GO,1996,4514967
MA,1996,5222183
MG,1996,16672613
MS,1996,1927834
MT,1996,2235832
PA,1996,5510849
PB,1996,3305616
PE,1996,7399071
PI,1996,2673085
PR,1996,9003804
RJ,1996,13406308
RN,1996,2558660
RO,1996,1229306
RR,1996,247131
RS,1996,9634688
SC,1996,4875244
SE,1996,1624020
SP,1996,34119110
TO,1996,1048642
AC,1997,500185
AL,1997,2663071
AM,1997,2460602
AP,1997,401916
BA,1997,12709744
CE,1997,6920292
DF,1997,1877015
ES,1997,2853098
GO,1997,4639785
MA,1997,5295452
MG,1997,16904977
MS,1997,1964603
MT,1997,2287846
PA,1997,5650681
PB,1997,3331673
PE,1997,7466773
PI,1997,2695876
PR,1997,9142215
RJ,1997,13555657
RN,1997,2594340
RO,1997,1255522
RR,1997,254499
RS,1997,9762110
SC,1997,4958339
SE,1997,1657164
SP,1997,34752225
TO,1997,1080753
AC,1998,514050
AL,1998,2688117
AM,1998,2520684
AP,1998,420834
BA,1998,12851268
CE,1998,7013376
DF,1998,1923406
ES,1998,2895547
GO,1998,4744174
MA,1998,5356853
MG,1998,17100314
MS,1998,1995578
MT,1998,2331663
PA,1998,5768476
PB,1998,3353624
PE,1998,7523755
PI,1998,2714999
PR,1998,9258813
RJ,1998,13681410
RN,1998,2624397
RO,1998,1276173
RR,1998,260705
RS,1998,9866928
SC,1998,5028339
SE,1998,1684953
SP,1998,35284072
TO,1998,1107803
AC,1999,527937
AL,1999,2713203
AM,1999,2580860
AP,1999,439781
BA,1999,12993011
CE,1999,7106605
DF,1999,1969868
ES,1999,2938062
GO,1999,4848725
MA,1999,5418349
MG,1999,17295955
MS,1999,2026600
MT,1999,2375549
PA,1999,5886454
PB,1999,3375609
PE,1999,7580826
PI,1999,2734152
PR,1999,9375592
RJ,1999,13807358
RN,1999,2654501
RO,1999,1296856
RR,1999,266922
RS,1999,9971910
SC,1999,5098448
SE,1999,1712786
SP,1999,35816740
TO,1999,1134895
AC,2000,557882
AL,2000,2827856
AM,2000,2817253
AP,2000,477032
BA,2000,13085768
CE,2000,7431597
DF,2000,2051146
ES,2000,3097497
GO,2000,5004196
MA,2000,5657553
MG,2000,17905135
MS,2000,2078070
MT,2000,2505245
PA,2000,6195965
PB,2000,3444794
PE,2000,7929153
PI,2000,2843427
PR,2000,9564643
RJ,2000,14392106
RN,2000,2777509
RO,2000,1380952
RR,2000,324397
RS,2000,10187842
SC,2000,5357862
SE,2000,1784829
SP,2000,37035455
TO,2000,1157690
AC,2001,574355
AL,2001,2856629
AM,2001,2900240
AP,2001,498735
BA,2001,13214114
CE,2001,7547620
DF,2001,2097447
ES,2001,3155016
GO,2001,5116462
MA,2001,5730467
MG,2001,18127096
MS,2001,2111036
MT,2001,2560584
PA,2001,6341736
PB,2001,3468594
PE,2001,8008207
PI,2001,2873010
PR,2001,9694709
RJ,2001,14558545
RN,2001,2815244
RO,2001,1407886
RR,2001,337237
RS,2001,10309819
SC,2001,5448736
SE,2001,1817301
SP,2001,37630106
TO,2001,1184895
AC,2002,586942
AL,2002,2887535
AM,2002,2961801
AP,2002,516511
BA,2002,13323212
CE,2002,7654535
DF,2002,2145839
ES,2002,3201722
GO,2002,5210335
MA,2002,5803224
MG,2002,18343517
MS,2002,2140624
MT,2002,2604742
PA,2002,6453683
PB,2002,3494893
PE,2002,8084667
PI,2002,2898223
PR,2002,9798006
RJ,2002,14724475
RN,2002,2852784
RO,2002,1431777
RR,2002,346871
RS,2002,10408540
SC,2002,5527707
SE,2002,1846039
SP,2002,38177742
TO,2002,1207014
AC,2003,600595
AL,2003,2917664
AM,2003,3031068
AP,2003,534835
BA,2003,13435612
CE,2003,7758441
DF,2003,2189789
ES,2003,3250219
GO,2003,5306459
MA,2003,5873655
MG,2003,18553312
MS,2003,2169688
MT,2003,2651335
PA,2003,6574993
PB,2003,3518595
PE,2003,8161862
PI,2003,2923725
PR,2003,9906866
RJ,2003,14879118
RN,2003,2888058
RO,2003,1455907
RR,2003,357302
RS,2003,10510992
SC,2003,5607233
SE,2003,1874613
SP,2003,38709320
TO,2003,1230181
AC,2004,630328
AL,2004,2980910
AM,2004,3138726
AP,2004,547400
BA,2004,13682074
CE,2004,7976563
DF,2004,2282049
ES,2004,3352024
GO,2004,5508245
MA,2004,6021504
MG,2004,18993720
MS,2004,2230702
MT,2004,2749145
PA,2004,6850181
PB,2004,3568350
PE,2004,8323911
PI,2004,2977259
PR,2004,10135388
RJ,2004,15203750
RN,2004,2962107
RO,2004,1562085
RR,2004,381896
RS,2004,10726063
SC,2004,5774178
SE,2004,1934596
SP,2004,39825226
TO,2004,1262644
AC,2005,669736
AL,2005,3015912
AM,2005,3232330
AP,2005,594587
BA,2005,13815334
CE,2005,8097276
DF,2005,2333108
ES,2005,3408365
GO,2005,5619917
MA,2005,6103327
MG,2005,19237450
MS,2005,2264468
MT,2005,2803274
PA,2005,6970586
PB,2005,3595886
PE,2005,8413593
PI,2005,3006885
PR,2005,10261856
RJ,2005,15383407
RN,2005,3003087
RO,2005,1534594
RR,2005,391317
RS,2005,10845087
SC,2005,5866568
SE,2005,1967791
SP,2005,40442795
TO,2005,1305728
AC,2006,686652
AL,2006,3050652
AM,2006,3311026
AP,2006,615715
BA,2006,13950146
CE,2006,8217085
DF,2006,2383784
ES,2006,3464285
GO,2006,5730753
MA,2006,6184538
MG,2006,19479356
MS,2006,2297981
MT,2006,2856999
PA,2006,7110465
PB,2006,3623215
PE,2006,8502603
PI,2006,3036290
PR,2006,10387378
RJ,2006,15561720
RN,2006,3043760
RO,2006,1562417
RR,2006,403344
RS,2006,10963219
SC,2006,5958266
SE,2006,2000738
SP,2006,41055734
TO,2006,1332441
AC,2007,655385
AL,2007,3037231
AM,2007,3221940
AP,2007,587311
BA,2007,14080670
CE,2007,8185250
DF,2007,2455903
ES,2007,3351669
GO,2007,5647035
MA,2007,6118995
MG,2007,19273533
MS,2007,2265813
MT,2007,2854642
PA,2007,7090378
PB,2007,3641397
PE,2007,8486638
PI,2007,3032435
PR,2007,10284503
RJ,2007,15420450
RN,2007,3013740
RO,2007,1453756
RR,2007,395725
RS,2007,10582887
SC,2007,5866487
SE,2007,1939426
SP,2007,39827690
TO,2007,1243627
AC,2008,680073
AL,2008,3127557
AM,2008,3341096
AP,2008,613164
BA,2008,14502575
CE,2008,8450527
DF,2008,2557158
ES,2008,3453648
GO,2008,5844996
MA,2008,6305539
MG,2008,19850072
MS,2008,2336058
MT,2008,2957732
PA,2008,7321493
PB,2008,3742606
PE,2008,8734194
PI,2008,3119697
PR,2008,10590169
RJ,2008,15872362
RN,2008,3106430
RO,2008,1493566
RR,2008,412783
RS,2008,10855214
SC,2008,6052587
SE,2008,1999374
SP,2008,41011635
TO,2008,1280509
AC,2009,691132
AL,2009,3156108
AM,2009,3393369
AP,2009,626609
BA,2009,14637364
CE,2009,8547809
DF,2009,2606885
ES,2009,3487199
GO,2009,5926300
MA,2009,6367138
MG,2009,20033665
MS,2009,2360498
MT,2009,3001692
PA,2009,7397238
PB,2009,3769977
PE,2009,8810256
PI,2009,3145325
PR,2009,10686247
RJ,2009,16010429
RN,2009,3137541
RO,2009,1503928
RR,2009,421499
RS,2009,10914128
SC,2009,6118743
SE,2009,2019679
SP,2009,41384039
TO,2009,1292051
AC,2010,733559
AL,2010,3120494
AM,2010,3483985
AP,2010,669526
BA,2010,14016906
CE,2010,8452381
DF,2010,2570160
